Name,Purpose,Quantity,Total Cost (USD),Link,Distributor
"3D printed CAD","Keyboard body",1,7.00,"","Printing Legion"
"PCB from JLCPCB+delivery","The base for my keeb",5,34.27,"","JLCPCB"
"Seeed Xiao nRF52840","The micros",1,20.76,"https://www.digikey.com/en/products/detail/seeed-technology-co-ltd/102010448/16652893","Digikey"
"Kaihl Low profile choc switch keys","The actual keys",30,22.42,"https://www.aliexpress.us/item/3256805697157410.html?spm=a2g0o.cart.0.0.74e838daD7pt90&mp=1&pdp_npi=6%40dis%21USD%21USD+23.71%21USD+22.42%21%21USD+22.42%21%21%21%402101e07217778618614875186e52d4%2112000034695877936%21ct%21US%217455183214%21%211%210%21&_gl=1*11e3gar*_gcl_aw*R0NMLjE3Nzc4NjE1OTcuQ2p3S0NBanc1TnZQQmhBb0Vpd0FfMmVnZmw3WWRSczY5Y2U1WWhvd29PbVQxcTE1dkQyUU55cVVMeEUxU3d1VGVKTUk3U2Vzc29UbE54b0NxXzRRQXZEX0J3RQ..*_gcl_dc*R0NMLjE3Nzc4NjE1OTcuQ2p3S0NBanc1TnZQQmhBb0Vpd0FfMmVnZmw3WWRSczY5Y2U1WWhvd29PbVQxcTE1dkQyUU55cVVMeEUxU3d1VGVKTUk3U2Vzc29UbE54b0NxXzRRQXZEX0J3RQ..*_gcl_au*MTM5MDY2MTQ1Ny4xNzc0MDIzODky*_ga*Njc2OTI3NDYwMTEwMDc2LjE3NzQwMjM4ODg0ODQ.*_ga_VED1YSGNC7*czE3Nzc4NjAzMzIkbzE5JGcxJHQxNzc3ODYyMjQzJGo1MCRsMCRoMA..&gatewayAdapt=glo2usa","Aliexpress"
"1N5819W SMD Diode","Diodes for the keyboard",35,4.90,"https://www.digikey.com/en/products/detail/evvo/1N5819W/21407174?_gl=1*1egc9oe*_up*MQ..&gclid=CjwKCAjw5NvPBhAoEiwA_2egfqobnGe3NVZu5yCWs9JDbUUdwdx5gV1PqNYYeqW5SEJWNbQWPZasPBoCUe8QAvD_BwE&gclsrc=aw.ds&gbraid=0AAAAADrbLliRJXDQufs8745EowVBugvU2","Digikey"
"KAILH SW SKTS FOR MX-COMP (pack of 20)","The hotswappable sockets",2,9.90,"https://www.digikey.com/en/products/detail/adafruit-industries-llc/4958/13997772","Digikey"
